2025-07-21 23:49:50,239 - Drowsiness detected
2025-07-21 23:49:50,350 - Drowsiness detected
2025-07-21 23:49:50,440 - Drowsiness detected
2025-07-21 23:49:50,557 - Drowsiness detected
2025-07-21 23:49:50,649 - Drowsiness detected
2025-07-21 23:49:50,739 - Drowsiness detected
2025-07-21 23:49:50,829 - Drowsiness detected
2025-07-21 23:49:50,920 - Drowsiness detected
2025-07-21 23:49:51,008 - Drowsiness detected
2025-07-21 23:49:51,099 - Drowsiness detected
INFO:root:Drowsiness detected at 2025-07-22 11:14:30.859584
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.066024
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.157926
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.249204
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.340823
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.432824
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.522256
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.612014
INFO:root:Drowsiness detected at 2025-07-22 11:14:31.700743
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.358731
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.452372
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.542975
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.633780
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.723015
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.810417
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.898870
INFO:root:Drowsiness detected at 2025-07-22 11:14:39.988227
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.076235
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.164147
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.259343
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.348483
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.438742
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.532225
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.620632
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.712581
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.800922
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.890898
INFO:root:Drowsiness detected at 2025-07-22 11:14:40.981056
INFO:root:Drowsiness detected at 2025-07-22 11:14:41.069728
